PR/workstream,Closure report path,Report verdict,Evidence verdict,Merge SHA,Deployed SHA,Version match evidence,Browser/API validation,CloudWatch/log validation,Limitation,Evidence gap? yes/no,Notes
#443,,,audit-only,1318c6857929754170a9806bcae78a34617c27ad,,No direct version evidence,"## Tests run - `python3.11 -m py_compile arie-backend/server.py arie-backend/screening_complyadvantage/evidence.py arie-backend/scripts/screening_queue_evidence_diagnostics.py` - `python3.11 -m pytest arie-backend/tests/test_screening_queue.py arie-backend/tests/test_complyadvantage_evidence_backfill.py arie-backend/tests/test_backoffice_ca_truthflow_static.py -q` — 45 passed - `python3.11 -m pytest arie-backend/tests/test_screening*.py arie-backend/tests/test_complyadvantage_*.py arie-backend/tests/test_declared_pep_truthfulness_priority_a2.py -q` — 946 passed, 2 skipped - `python3.11 -m pytest arie-backend/tests/test_inline_screening_runtime.py arie-backend/tests/test_backoffice_inline_script_static.py -q` — 14 passed",,Evidence gap: no directly matched closure report located for this recon pass,yes,Add closure report path or downgrade status if report currently says closed
#444,,Closed,audit-only,45b5176650ac2887e7830743241204367382fad1,,No direct version evidence,## Tests - `python3.11 -m pytest arie-backend/tests/test_backoffice_ca_truthflow_static.py -q` - `node --check /tmp/regmind_sq3_backoffice_inline_fix.js` - `git diff --check`,,Evidence gap: no directly matched closure report located for this recon pass,yes,Add closure report path or downgrade status if report currently says closed
#445,,,audit-only,61928e1a232484dbcd70804d6381d10b54482ff6,,No direct version evidence,## Tests run - `python3.11 -m pytest arie-backend/tests/test_monitoring_alerts_sprint1_static.py arie-backend/tests/test_monitoring_alerts_sprint2_api.py -q` - `python3.11 -m pytest arie-backend/tests/test_backoffice_*static.py arie-backend/tests/test_application_lifecycle_tab_shell_static.py arie-backend/tests/test_backoffice_ca_truthflow_static.py -q` - `python3.11 -m pytest arie-backend/tests/test_monitoring_alerts_sprint2_api.py arie-backend/tests/test_monitoring_automation.py arie-backend/tests/test_monitoring_routing.py -q` - `python3.11 -m py_compile arie-backend/tests/test_monitoring_alerts_sprint1_static.py` - `node --check /tmp/regmind_ma2c_backoffice_inline.js` - `git diff --check`,,Evidence gap: no directly matched closure report located for this recon pass,yes,Add closure report path or downgrade status if report currently says closed
#446,,,audit-only,092d5ca96b7119f65c073ad441dcd7f82f86d51e,,No direct version evidence,## Tests run - `pytest -q arie-backend/tests/test_monitoring_document_refresh_api.py arie-backend/tests/test_monitoring_alerts_sprint1_static.py arie-backend/tests/test_portal_periodic_review_notification_static.py arie-backend/tests/test_monitoring_alerts_sprint2_api.py arie-backend/tests/test_migration_chain_full.py arie-backend/tests/test_screening_queue.py arie-backend/tests/test_screening_queue_state_integrity.py arie-backend/tests/test_screening_review.py -q` - `python3 -m py_compile arie-backend/monitoring_document_refresh.py arie-backend/server.py arie-backend/db.py arie-backend/tests/test_monitoring_document_refresh_api.py arie-backend/tests/test_migration_chain_full.py` - `git diff --check`,,Evidence gap: no directly matched closure report located for this recon pass,yes,Add closure report path or downgrade status if report currently says closed
#447,,,audit-only,14d637362cd70a4637f361340945d056ca256513,,No direct version evidence,"## Tests Local: - `pytest -q arie-backend/tests/test_startup_legacy_monitoring_alerts.py arie-backend/tests/test_monitoring_document_refresh_api.py arie-backend/tests/test_migration_chain_full.py` - `15 passed, 4 skipped` - `python3 -m py_compile arie-backend/db.py arie-backend/tests/test_startup_legacy_monitoring_alerts.py` - `git diff --check`",,Evidence gap: no directly matched closure report located for this recon pass,yes,Add closure report path or downgrade status if report currently says closed
#448,,,audit-only,7998018bbc6f40b0db8bad9789bbce165748dbc4,,No direct version evidence,## Tests run - `pytest -q arie-backend/tests/test_monitoring_document_refresh_api.py` - `pytest -q arie-backend/tests/test_startup_legacy_monitoring_alerts.py arie-backend/tests/test_monitoring_document_refresh_api.py` - `python3 -m py_compile arie-backend/monitoring_document_refresh.py arie-backend/tests/test_monitoring_document_refresh_api.py` - `git diff --check`,,Evidence gap: no directly matched closure report located for this recon pass,yes,Add closure report path or downgrade status if report currently says closed
#449,,Closed,audit-only,e848551df7773f1a9676e0a64047445a2beb5258,,No direct version evidence,## Tests run - `pytest -q arie-backend/tests/test_monitoring_document_refresh_api.py` - `pytest -q arie-backend/tests/test_monitoring_alerts_sprint1_static.py` - `pytest -q arie-backend/tests/test_backoffice_inline_script_static.py` - `pytest -q arie-backend/tests/test_document_versioning.py arie-backend/tests/test_application_enhanced_requirements.py arie-backend/tests/test_monitoring_alerts_sprint2_api.py arie-backend/tests/test_screening_queue_state_integrity.py` - `pytest -q arie-backend/tests/test_backoffice_monitoring_navigation_static.py arie-backend/tests/test_enhanced_requirement_settings.py` - `pytest -q arie-backend/tests/test_periodic_review_document_requests.py arie-backend/tests/test_backoffice_periodic_review_documents_static.py arie-backend/tests/test_portal_periodic_review_documents_static.py`,,Evidence gap: no directly matched closure report located for this recon pass,yes,Add closure report path or downgrade status if report currently says closed
#469,,Closed,audit-only,7806ea68addfab81f88c1d58a43a89acd52acb9d,,No direct version evidence,## Tests added/updated - Added `tests/test_pr1_client_api_boundary.py` - Updated auth/client expectation tests to use `/api/portal/applications` for client-visible application lists. - Updated stale tests that expected clients to read `/api/applications`. ## Evidence pack `docs/audits/evidence/remediation_sprints/PR-1_security-client-api-boundary-hardening_20260613T070139Z/`,,Evidence gap: no directly matched closure report located for this recon pass,yes,Add closure report path or downgrade status if report currently says closed
#470,,,audit-only,12be9e5c3d127400b6f74d7013bab1ae63d418b7,,No direct version evidence,"## Validation ```bash /opt/homebrew/bin/python3.11 -m py_compile arie-backend/server.py arie-backend/tests/test_pr1b_client_notification_boundary.py # PASS /opt/homebrew/bin/python3.11 -m flake8 arie-backend/server.py arie-backend/tests/test_pr1b_client_notification_boundary.py --select=E9,F63,F7,F82 # PASS git diff --check # PASS /opt/homebrew/bin/python3.11 -m pytest \ arie-backend/tests/test_pr1b_client_notification_boundary.py \ arie-backend/tests/test_pr1_client_api_boundary.py \ arie-backend/tests/test_rmi_requests.py \ -q # 13 passed in 6.66s /opt/homebrew/bin/python3.11 -m pytest arie-backend/tests -q # 5253 passed, 25 skipped in 273.13s ``` ## Evidence Pack `docs/audits/evidence/remediation_sprints/PR-1B_client-notification-data-boundary-hardening_20260613T093629Z/`",,Evidence gap: no directly matched closure report located for this recon pass,yes,Add closure report path or downgrade status if report currently says closed
#471,,,audit-only,b4d1f7387ab03eca849a451bedc98b5208e0ddba,,No direct version evidence,"## Tests Local: - `git diff --check` — PASS - `/opt/homebrew/bin/python3.11 -m py_compile arie-backend/server.py arie-backend/tests/test_pr1b_client_notification_boundary.py` — PASS - `/opt/homebrew/bin/python3.11 -m flake8 arie-backend/server.py arie-backend/tests/test_pr1b_client_notification_boundary.py --select=E9,F63,F7,F82` — PASS - `/opt/homebrew/bin/python3.11 -m pytest arie-backend/tests/test_pr1b_client_notification_boundary.py arie-backend/tests/test_pr1_client_api_boundary.py -q` — PASS, 9 passed Full local backend suite: - BLOCKED by known local WeasyPrint/Pango CFFI segmentation fault during test collection. GitHub CI must be authoritative for full-suite/PDF evidence.",,Evidence gap: no directly matched closure report located for this recon pass,yes,Add closure report path or downgrade status if report currently says closed
#472,,,audit-only,460df77eed4a1d6865c8827d0f2f54042e6c85dd,,No direct version evidence,"## Tests run - `python3 -m py_compile server.py security_hardening.py base_handler.py screening_state.py sumsub_idv_status.py` - PASS - `pytest -q arie-backend/tests/test_case_command_centre_runtime.py arie-backend/tests/test_backoffice_periodic_review_baseline_static.py arie-backend/tests/test_backoffice_periodic_review_workspace_static.py arie-backend/tests/test_application_lifecycle_tab_shell_static.py arie-backend/tests/test_export_pack_ui_static.py arie-backend/tests/test_officer_corrections.py -q` - PASS, 111 tests - `pytest -q arie-backend/tests/test_api.py -k ""approval or blocker or command or idv or memo or screening""` - PASS, 35 selected tests - `pytest -q arie-backend/tests/test_kyc_1a_sumsub_idv_visibility.py arie-backend/tests/test_screening_queue_state_integrity.py arie-backend/tests/test_provider_label_policy.py arie-backend/tests/test_backoffice_ca_truthflow_static.py ari",,Evidence gap: no directly matched closure report located for this recon pass,yes,Add closure report path or downgrade status if report currently says closed
#473,,,audit-only,3f00f491c75a5605440d56899bebb9e513cc1cb3,,No direct version evidence,## Tests Added / Updated Added negative regressions proving a stale worker cache still rejects: - logged-out bearer token on `/api/auth/me` and `/api/applications` - logged-out cookie token on `/api/auth/me` and `/api/applications` - logged-out client bearer token on `/api/auth/me` and `/api/portal/applications` ## Validation Static / compile: ```bash /opt/homebrew/bin/python3.11 -m py_compile arie-backend/security_hardening.py arie-backend/tests/test_sprint35.py # passed git diff --check # passed ``` Targeted new regressions: ```bash /opt/homebrew/bin/python3.11 -m pytest \ arie-backend/tests/test_sprint35.py::TestLogout::test_logout_revocation_survives_stale_worker_cache_for_bearer \ arie-backend/tests/test_sprint35.py::TestLogout::test_logout_revocation_survives_stale_worker_cache_for_cookie \,,Evidence gap: no directly matched closure report located for this recon pass,yes,Add closure report path or downgrade status if report currently says closed
#474,,,audit-only,e61800bedc61752885313ab9e70718f6c4a021f3,,No direct version evidence,## Tests Added / Updated Added backend tests covering: - Approved terminal record with decision evidence separates decision basis from current diagnostics. - Legacy approved record is labelled evidence-incomplete without active gate blockers. - Rejected terminal record does not expose action-required approval blockers. - Non-terminal pending/in-review record still exposes fail-closed gate blockers. - New terminal gate fields are stripped from client-safe application projection. - New approval decisions persist an approval gate snapshot. - Back Office Case Command Centre terminal renderer separates decision context/current diagnostics. Updated CCC runtime tests to cover terminal presentation behavior.,,Evidence gap: no directly matched closure report located for this recon pass,yes,Add closure report path or downgrade status if report currently says closed
#475,,,audit-only,ef5ee1d7e3d5e1ee83ad4b8015d70f432485492a,,No direct version evidence,## Tests ```bash git diff --check python3 -m py_compile arie-backend/screening_state.py arie-backend/memo_handler.py arie-backend/security_hardening.py arie-backend/tests/test_screening_state_priority_a.py arie-backend/tests/test_screening_clearance_validation_supervisor.py arie-backend/tests/test_backoffice_ca_truthflow_static.py arie-backend/tests/test_case_command_centre_runtime.py PYTHONPATH=arie-backend pytest -q arie-backend/tests/test_screening_state_priority_a.py arie-backend/tests/test_screening_clearance_validation_supervisor.py arie-backend/tests/test_backoffice_ca_truthflow_static.py arie-backend/tests/test_case_command_centre_runtime.py PYTHONPATH=arie-backend pytest -q arie-backend/tests/test_pr1_client_api_boundary.py arie-backend/tests/test_pr1b_client_notification_boundary.py arie-backend/tests/test_pr3_terminal_record_gate_reconciliation.py,,Evidence gap: no directly matched closure report located for this recon pass,yes,Add closure report path or downgrade status if report currently says closed
#476,,,audit-only,3a79bd014cc84e8189e50daeecc325c3cb9af0a5,,No direct version evidence,"## Tests Added/Updated - Added sanitizer unit regression for stale `approval_ready=true` plus `approval_blocking=true` metadata. - Added runtime application detail regression proving stale memo metadata is sanitized in API output. ## Closure Note FSI-007 remains PARTIALLY FIXED until this PR is merged into main, deployed to staging, staging `/api/version` matches the merged main SHA, API smoke proves no nested application detail readiness contradiction remains, and browser smoke passes for affected officer/client surfaces. No other remediation item is closed by this PR.",,Evidence gap: no directly matched closure report located for this recon pass,yes,Add closure report path or downgrade status if report currently says closed
#477,,Closed,audit-only,b061c52f147b6fa42398629bb2b5dd2502682f3d,,No direct version evidence,## Tests Added / Updated - Added `arie-backend/tests/test_pr5_memo_governance.py` - Updated memo ordering/gate tests - Updated pass-with-fixes and supervisor-warning approval tests - Updated back-office static UI tests - Updated approval-gate fixtures that create approved memos ## Evidence Pack `docs/audits/evidence/remediation_sprints/PR-5_memo-governance-unification_20260613T182929Z/` Includes: - `diagnosis.md` - `root_cause.md` - `test_results.md` - `full_suite_results.md` - `staging_deploy.md` - `api_smoke.md` - `browser_smoke.md` - `closure_report.md`,,Evidence gap: no directly matched closure report located for this recon pass,yes,Add closure report path or downgrade status if report currently says closed
#512,,Closed PASS,audit-only,8f2c9bc38180e6ef8340bf58da523bc247d365a6,,No direct version evidence,"## Validation - Syntax check: pass. - Initial focused CA/submit tests: `68 passed in 2.15s`. - Rebased focused CA/submit plus API status contract: `69 passed in 2.62s`. - CA auth/evidence/audit/orchestration tests: `79 passed in 0.54s`. - Portal prescreening tests: `74 passed in 2.08s`. - Initial full backend suite: `5454 passed, 17 skipped in 218.85s`. - Rebased full backend suite: `5460 passed, 17 skipped in 251.30s`. - GitHub CI: lint-and-test, pdf-tests, and docker-validate passed. - Direct CA Sandbox payload probe: strict company and strict person synthetic payloads returned workflow handles. ## Post-Merge Required Gates - Merge to main. - Deploy merged main to staging. - Confirm `/api/version` git SHA and image tag match merge SHA.",,Evidence gap: no directly matched closure report located for this recon pass,yes,Add closure report path or downgrade status if report currently says closed
#516,,Closed PASS,audit-only,ab0dc587751b983eee43d00ea632609282a8ef42,,No direct version evidence,## Validation - `python3.11 -m pytest arie-backend/tests/test_api.py::TestAuthenticatedAccess::test_version_requires_authentication arie-backend/tests/test_api.py::TestAuthenticatedAccess::test_authenticated_version_returns_required_release_keys arie-backend/tests/test_api.py::TestAuthenticatedAccess::test_version_does_not_return_secret_like_fields_or_values arie-backend/tests/test_api.py::TestAuthenticatedAccess::test_version_missing_env_vars_fail_safe_without_500 arie-backend/tests/test_version_endpoint.py arie-backend/tests/test_qa_smoke_user.py arie-backend/tests/test_staging_release_evidence.py arie-backend/tests/test_day6_staging_smoke_workflow.py arie-backend/tests/test_day6_deployment_observability_docs.py arie-backend/tests/test_day6_closing_runbook.py -q` -> 26 passed,,Evidence gap: no directly matched closure report located for this recon pass,yes,Add closure report path or downgrade status if report currently says closed
#517,,,audit-only,26571ce558f17749debcfe9c90ddbf18a3f5768e,,No direct version evidence,## Validation - `python3.11 -m pytest arie-backend/tests/test_day5_closing_smoke.py arie-backend/tests/test_day6_deployment_observability_docs.py arie-backend/tests/test_day6_closing_runbook.py arie-backend/tests/test_staging_release_evidence.py -q` -> 15 passed - `git diff --check` -> passed,,Evidence gap: no directly matched closure report located for this recon pass,yes,Add closure report path or downgrade status if report currently says closed
#518,,Closed PASS,audit-only,12aca7a28014db34a211da4ec8f594febaba5a6b,,No direct version evidence,## Validation - `python3.11 -m pytest arie-backend/tests/test_day6_staging_smoke_workflow.py arie-backend/tests/test_day6_deployment_observability_docs.py arie-backend/tests/test_day6_closing_runbook.py -q` -> 11 passed - `git diff --check` -> passed <!-- This is an auto-generated comment: release notes by coderabbit.ai -->,,Evidence gap: no directly matched closure report located for this recon pass,yes,Add closure report path or downgrade status if report currently says closed
#608,/private/tmp/regmind-pr-608-post-merge-closure/PR-608-post-merge-closure-report.md,Closed PASS,PASS,e5a858f28ab9b03a4fed82f70e1218ba584a4212,747c48cd6273234f50bd84dbd418b5f5efe3a298,final deploy included #608/#609/#611,API/browser validation after hotfixes,,Historical fixture data remains hidden/separated by default,no,
#609,,Closed PASS,audit-only,d6917262198369e74949c2d2430398456ea77e9e,,No direct version evidence,## Validation - `/opt/homebrew/bin/python3.11 -m pytest arie-backend/tests/test_fixture_exclusion.py arie-backend/tests/test_pilot_data_segmentation_fixture_hiding.py -q` — 58 passed - `/opt/homebrew/bin/python3.11 -m pytest arie-backend/tests/test_dashboard_metrics_truth.py arie-backend/tests/test_backoffice_dashboard_runtime.py -q` — 3 passed - `/opt/homebrew/bin/python3.11 -m pytest arie-backend/tests/test_cm_backoffice_workspace_simplify_static.py arie-backend/tests/test_cm_regression_hotfix.py arie-backend/tests/test_cm_implement_propagation.py arie-backend/tests/test_change_management_diff_runtime.py -q` — 51 passed - `/opt/homebrew/bin/python3.11 -m pytest arie-backend/tests/test_backoffice_inline_script_static.py arie-backend/tests/test_backoffice_dashboard_runtime.py arie-backend/tests/test_application.py -q` — 23 passed,,Evidence gap: no directly matched closure report located for this recon pass,yes,Add closure report path or downgrade status if report currently says closed
#610,/private/tmp/regmind-screening-queue-query-perf/closure/PR-SCREENING-QUEUE-QUERY-PERF-1-post-merge-closure-report.md,Closed PASS with follow-up,PASS WITH LIMITATION,995a66aea12d4bf89678d87023ca5e683b5be279,995a66aea12d4bf89678d87023ca5e683b5be279,exact merge SHA matched git_sha/image_tag,Queue list latency samples under target,,include_evidence detail hydration remained slow before #623,no,Closed by #623 for first-detail blocker
#611,,Closed PASS,audit-only,747c48cd6273234f50bd84dbd418b5f5efe3a298,,No direct version evidence,## Tests - PYTHONPATH=arie-backend /opt/homebrew/bin/python3.11 -m pytest arie-backend/tests/test_pilot_data_segmentation_fixture_hiding.py -q - PYTHONPATH=arie-backend /opt/homebrew/bin/python3.11 -m pytest arie-backend/tests/test_cm_regression_hotfix.py arie-backend/tests/test_change_management* -q - /opt/homebrew/bin/python3.11 -m py_compile arie-backend/fixture_filter.py arie-backend/server.py arie-backend/change_management.py - git diff --check <!-- This is an auto-generated comment: release notes by coderabbit.ai -->,,Evidence gap: no directly matched closure report located for this recon pass,yes,Add closure report path or downgrade status if report currently says closed
#612,/private/tmp/regmind-screening-review-document-banner-removal/closure/PR-SCREENING-REVIEW-DOCUMENT-BANNER-REMOVAL-closure-report.md,Closed PASS,PASS,ad3603db70bf65c82b7ad6aef3895235743516a7,ad3603db70bf65c82b7ad6aef3895235743516a7,exact merge SHA matched git_sha/image_tag,Read-only staging browser validation of banner removal and protected document surfaces,,UI-only; no workflow mutation exercised,no,
#613,/private/tmp/regmind-kyc-doc-upload-performance/closure/PR-KYC-DOC-UPLOAD-PERFORMANCE-1-post-merge-closure-report.md,Closed PASS with validation limitation,PASS WITH VALIDATION LIMITATION,e8d95083deb23b0bcee59dd7084c40a587202b62,e8d95083deb23b0bcee59dd7084c40a587202b62,exact merge SHA matched git_sha/image_tag,Non-mutating post-merge validation,,No live upload because no safe disposable fixture,no,Add disposable upload fixture
#614,/private/tmp/regmind-kyc-docs-missing-wording-cleanup/closure/PR-KYC-DOCS-MISSING-WORDING-CLEANUP-1-post-merge-closure-report.md,Closed PASS,PASS,686dc386e34d011509da1f9aa4931d19b35c1d65,686dc386e34d011509da1f9aa4931d19b35c1d65,exact merge SHA matched git_sha/image_tag,"Read-only staging browser validation; policy-missing exact state not live, as disclosed",,Policy-missing exact state not live; closure does not claim that row was shown,no,
