PR number,GitHub title,GitHub URL,State,Merged at,Merge SHA,Branch,Files changed,Checks status,Report claimed status,Match? yes/no,Notes
410,PR410 screening workflow audit and simplification,https://github.com/onboarda1234/onboarda/pull/410,MERGED,2026-06-07T10:47:22Z,61799bc53ef5e4234d0dc5f902aac60ff9d6aaf8,fix/pr410-screening-workflow-audit,arie-backend/screening_state.py; arie-backend/server.py; arie-backend/tests/test_api.py; arie-backend/tests/test_backoffice_ca_truthflow_static.py; arie-backend/tests/test_backoffice_review_audit.py; arie-backend/tests/test_inline_screening_runtime.py; arie-backend/tests/test_screening_review.py; arie-backend/tests/test_screening_state_priority_a.py; arie-backoffice.html,pass:5,Closed PASS,evidence gap,Report-mentioned PR; no direct closure evidence path located in this pass
411,PR410A: Controlled pre-screening correction mode foundation,https://github.com/onboarda1234/onboarda/pull/411,MERGED,2026-06-07T07:12:34Z,8b9854d226510e10e7eefb4d46febb7245b02538,fix/pr410a-controlled-correction-mode-foundation,arie-backend/server.py; arie-backend/tests/test_officer_correction_ui_static.py; arie-backend/tests/test_officer_corrections.py; arie-backoffice.html,pass:5,Not directly claimed in Word PR table,N/A,Additional scoped PR metadata
412,[codex] Implement PRS-6 periodic review notifications,https://github.com/onboarda1234/onboarda/pull/412,MERGED,2026-06-07T10:48:58Z,1f5fe297ab12637b269369bdf748f2e9147c5465,codex/prs6-periodic-review-notifications-reminders,arie-backend/db.py; arie-backend/periodic_review_attestation.py; arie-backend/periodic_review_notifications.py; arie-backend/periodic_review_projection_service.py; arie-backend/server.py; arie-backend/tests/test_backoffice_periodic_review_notification_static.py; arie-backend/tests/test_periodic_review_notifications.py; arie-backend/tests/test_periodic_review_reminders.py; arie-backend/tests/test_portal_periodic_review_notification_static.py; arie-backoffice.html; ... +1 more,pass:5,Not directly claimed in Word PR table,N/A,Additional scoped PR metadata
414,Fix PR410 screening detail fallback,https://github.com/onboarda1234/onboarda/pull/414,MERGED,2026-06-07T12:05:30Z,8d5506f77863d1cee4af511978d8421130495cf9,fix/pr410-screening-detail-cache-correction,arie-backend/tests/test_inline_screening_runtime.py; arie-backoffice.html,pass:5,Not directly claimed in Word PR table,N/A,Additional scoped PR metadata
415,Prevent stale screening queue responses,https://github.com/onboarda1234/onboarda/pull/415,MERGED,2026-06-07T12:44:26Z,91c01629263e3f38f8897e895c2ada5d26654097,fix/pr410-screening-queue-request-sequencing,arie-backend/tests/test_inline_screening_runtime.py; arie-backoffice.html,pass:5,Not directly claimed in Word PR table,N/A,Additional scoped PR metadata
416,PR410B: Risk-relevant officer corrections and memo staleness,https://github.com/onboarda1234/onboarda/pull/416,MERGED,2026-06-07T14:16:42Z,14ca9320f744f66231b8cacfc190bd2c82980197,fix/pr410b-risk-corrections-recompute-memo-stale,arie-backend/rule_engine.py; arie-backend/server.py; arie-backend/tests/test_officer_correction_ui_static.py; arie-backend/tests/test_officer_corrections.py; arie-backoffice.html,pass:5,Not directly claimed in Word PR table,N/A,Additional scoped PR metadata
417,Fix inline screening disposition save validation,https://github.com/onboarda1234/onboarda/pull/417,MERGED,2026-06-07T14:51:57Z,5d99c6e47f618fc33690597e5f74b57fbdbc1fe0,fix/pr410-inline-disposition-save-enable,arie-backend/tests/test_inline_screening_runtime.py; arie-backoffice.html,pass:5,Not directly claimed in Word PR table,N/A,Additional scoped PR metadata
418,Fix inline screening fallback disposition save,https://github.com/onboarda1234/onboarda/pull/418,MERGED,2026-06-07T16:10:08Z,a733b10a284b39bc6eef1c78ad997ace5790df51,fix/pr410-inline-fallback-save,arie-backend/tests/test_inline_screening_runtime.py; arie-backoffice.html,pass:5,Closed PASS,evidence gap,Report-mentioned PR; no direct closure evidence path located in this pass
420,[codex] Add periodic review risk reassessment memo addendum,https://github.com/onboarda1234/onboarda/pull/420,MERGED,2026-06-07T19:35:12Z,c3b440f74dd224cfe0a08ec49c049a153ff388de,codex/prs7-risk-reassessment-memo-addendum,arie-backend/db.py; arie-backend/periodic_review_memo.py; arie-backend/periodic_review_risk_reassessment.py; arie-backend/server.py; arie-backend/tests/test_backoffice_periodic_review_risk_static.py; arie-backend/tests/test_periodic_review_memo.py; arie-backend/tests/test_periodic_review_risk_reassessment.py; arie-backend/tests/test_portal_periodic_review_risk_privacy_static.py; arie-backoffice.html; arie-portal.html,pass:5,Not directly claimed in Word PR table,N/A,Additional scoped PR metadata
423,Deduplicate party card PEP display,https://github.com/onboarda1234/onboarda/pull/423,MERGED,2026-06-08T12:37:52Z,5cfc5dc00eac20847d27601099f6831469461701,fix/party-card-pep-display-dedup-hotfix,arie-backend/tests/test_officer_correction_ui_static.py; arie-backend/tests/test_pep_portal_capture_display.py; arie-backoffice.html,pass:5,Not directly claimed in Word PR table,N/A,Additional scoped PR metadata
428,Remove duplicated Application Review lifecycle UI,https://github.com/onboarda1234/onboarda/pull/428,MERGED,2026-06-09T10:07:15Z,5a4e797ff1810ee956ec4f5172958c4c1f0a286c,codex/application-review-ui-cleanup,arie-backend/tests/test_application_lifecycle_tab_shell_static.py; arie-backend/tests/test_backoffice_periodic_review_workspace_static.py; arie-backoffice.html,pass:5,Not directly claimed in Word PR table,N/A,Additional scoped PR metadata
430,[codex] Refine risk and party review UI,https://github.com/onboarda1234/onboarda/pull/430,MERGED,2026-06-09T07:36:55Z,7b0d5e25dbc85938753e2eda1c90b4961d709919,codex/risk-party-ux-cleanup,arie-backend/tests/test_officer_correction_ui_static.py; arie-backend/tests/test_pep_portal_capture_display.py; arie-backend/tests/test_risk_display_integrity.py; arie-backoffice.html,pass:5,Not directly claimed in Word PR table,N/A,Additional scoped PR metadata
431,Fix risk score source-of-truth consistency,https://github.com/onboarda1234/onboarda/pull/431,MERGED,2026-06-09T06:49:53Z,6197e0cae6698684ceba7d1d1ed3ae6301bc284e,codex/risk-score-consistency,arie-backend/decision_model.py; arie-backend/memo_handler.py; arie-backend/pdf_generator.py; arie-backend/security_hardening.py; arie-backend/server.py; arie-backend/tests/test_decision_model.py; arie-backend/tests/test_memo_staleness_hard_gate.py; arie-backend/tests/test_phase3_memo_integrity.py; arie-backend/tests/test_risk_display_integrity.py; docs/compliance/risk-score-source-of-truth-audit-2026-06-09.md,pass:5,Closed PASS,evidence gap,Report-mentioned PR; no direct closure evidence path located in this pass
433,Fix Monitoring Alerts data truth,https://github.com/onboarda1234/onboarda/pull/433,MERGED,2026-06-09T11:28:01Z,976d54cb0d30484f8e0dc6a2cc8b39fa7cad8879,codex/monitoring-alerts-sprint1,arie-backend/server.py; arie-backend/tests/test_monitoring_alerts_sprint1_static.py; arie-backoffice.html,pass:5,Closed,evidence gap,Report-mentioned PR; no direct closure evidence path located in this pass
434,Hide UUID v7 monitoring client IDs,https://github.com/onboarda1234/onboarda/pull/434,MERGED,2026-06-09T12:07:36Z,72799f7f0c4febd58a4bbb60b597d11f7ae0a5a5,codex/monitoring-alerts-uuid-v7,arie-backend/tests/test_monitoring_alerts_sprint1_static.py; arie-backoffice.html,pass:5,Not directly claimed in Word PR table,N/A,Report-mentioned PR; no direct closure evidence path located in this pass
435,Implement Monitoring Alerts Sprint 2 detail workflow,https://github.com/onboarda1234/onboarda/pull/435,MERGED,2026-06-09T14:34:08Z,0656c9cde1b38bba0e78ca4185aab2cc41044165,codex/monitoring-alerts-sprint2,arie-backend/server.py; arie-backend/tests/test_monitoring_alerts_sprint1_static.py; arie-backend/tests/test_monitoring_alerts_sprint2_api.py; arie-backoffice.html,pass:5,Not directly claimed in Word PR table,N/A,Report-mentioned PR; no direct closure evidence path located in this pass
436,CA-1: Harden ComplyAdvantage webhooks and evidence retrieval,https://github.com/onboarda1234/onboarda/pull/436,MERGED,2026-06-09T16:02:53Z,4b078f383d1f33736c0ea3ab4cd3241d46462600,codex/ca-webhook-evidence-retrieval,arie-backend/db.py; arie-backend/migrations/scripts/migration_031_ca_webhook_evidence.sql; arie-backend/screening_complyadvantage/evidence.py; arie-backend/screening_complyadvantage/webhook_handler.py; arie-backend/screening_complyadvantage/webhook_storage.py; arie-backend/server.py; arie-backend/tests/test_complyadvantage_webhook_handler.py; arie-backend/tests/test_complyadvantage_webhook_storage.py; arie-backend/tests/test_monitoring_alerts_sprint1_static.py; arie-backend/tests/test_monitoring_alerts_sprint2_api.py; ... +1 more,pass:5,Closed,evidence gap,Report-mentioned PR; no direct closure evidence path located in this pass
437,[codex] Backfill CA monitoring evidence,https://github.com/onboarda1234/onboarda/pull/437,MERGED,2026-06-09T17:10:27Z,e8382a1b8bc363a0aa418dc6a735df3c5fb71140,codex/ca1b-evidence-backfill-cleanup,arie-backend/screening_complyadvantage/evidence_backfill.py; arie-backend/scripts/ca_evidence_backfill.py; arie-backend/tests/test_complyadvantage_evidence_backfill.py; arie-backend/tests/test_monitoring_alerts_sprint1_static.py; arie-backoffice.html,pass:5,Not directly claimed in Word PR table,N/A,Report-mentioned PR; no direct closure evidence path located in this pass
438,[codex] Fix CA evidence backfill Postgres wildcard,https://github.com/onboarda1234/onboarda/pull/438,MERGED,2026-06-09T17:53:35Z,501bde2cf686d7767d900511af5084d6aa66bc0b,codex/ca1b-evidence-backfill-postgres-fix,arie-backend/screening_complyadvantage/evidence_backfill.py; arie-backend/tests/test_complyadvantage_evidence_backfill.py,pass:5,Not directly claimed in Word PR table,N/A,Report-mentioned PR; no direct closure evidence path located in this pass
439,[codex] Guard CA evidence backfill identifiers,https://github.com/onboarda1234/onboarda/pull/439,MERGED,2026-06-09T18:32:38Z,b8680a6119da4ddf106ba51e3c0f053fb513ed39,codex/ca1b-evidence-backfill-identifier-guard,arie-backend/screening_complyadvantage/evidence_backfill.py; arie-backend/tests/test_complyadvantage_evidence_backfill.py,pass:5,Closed,evidence gap,Report-mentioned PR; no direct closure evidence path located in this pass
440,[codex] SQ-1 screening queue state integrity,https://github.com/onboarda1234/onboarda/pull/440,MERGED,2026-06-10T02:46:43Z,9553639fcb8bb67fed97b0173662f58a9d590c1c,codex/sq1-screening-queue-state-integrity,arie-backend/screening_state.py; arie-backend/server.py; arie-backend/tests/test_api.py; arie-backend/tests/test_declared_pep_truthfulness_priority_a2.py; arie-backend/tests/test_screening_queue.py; arie-backend/tests/test_screening_queue_state_integrity.py; arie-backend/tests/test_screening_review.py; arie-backend/tests/test_screening_state_priority_a.py,pass:5,Closed,evidence gap,Report-mentioned PR; no direct closure evidence path located in this pass
441,[codex] SQ-1 queue payload integrity follow-up,https://github.com/onboarda1234/onboarda/pull/441,MERGED,2026-06-10T03:21:45Z,a1982f8621aa14bb738acc1eb7bd2ffbb2bedae3,codex/sq1-screening-queue-payload-integrity,arie-backend/server.py; arie-backend/tests/test_screening_queue_state_integrity.py,pass:5,Not directly claimed in Word PR table,N/A,Report-mentioned PR; no direct closure evidence path located in this pass
442,SQ-2 Screening Queue evidence readiness,https://github.com/onboarda1234/onboarda/pull/442,MERGED,2026-06-10T05:10:30Z,d5e3f6cfb9e2f968df60bcf6d67e7105b189abe0,codex/sq2-screening-evidence-readiness,arie-backend/server.py; arie-backend/tests/test_backoffice_ca_truthflow_static.py; arie-backend/tests/test_screening_queue.py; arie-backoffice.html,pass:5,Not directly claimed in Word PR table,N/A,Report-mentioned PR; no direct closure evidence path located in this pass
443,SQ-3 Provider evidence quality diagnostics,https://github.com/onboarda1234/onboarda/pull/443,MERGED,2026-06-10T07:35:57Z,1318c6857929754170a9806bcae78a34617c27ad,codex/sq3-provider-evidence-quality,arie-backend/screening_complyadvantage/evidence.py; arie-backend/scripts/screening_queue_evidence_diagnostics.py; arie-backend/server.py; arie-backend/tests/test_backoffice_ca_truthflow_static.py; arie-backend/tests/test_complyadvantage_evidence_backfill.py; arie-backend/tests/test_screening_queue.py; arie-backoffice.html,pass:5,Not directly claimed in Word PR table,N/A,Report-mentioned PR; no direct closure evidence path located in this pass
444,SQ-3 preserve evidence reasons in detail view,https://github.com/onboarda1234/onboarda/pull/444,MERGED,2026-06-10T08:18:35Z,45b5176650ac2887e7830743241204367382fad1,codex/sq3-evidence-reason-ui-fix,arie-backend/tests/test_backoffice_ca_truthflow_static.py; arie-backoffice.html,pass:5,Closed,evidence gap,Report-mentioned PR; no direct closure evidence path located in this pass
445,MA-2C simplify monitoring alert detail,https://github.com/onboarda1234/onboarda/pull/445,MERGED,2026-06-10T11:16:24Z,61928e1a232484dbcd70804d6381d10b54482ff6,codex/ma2c-monitoring-alert-detail-simplification,arie-backend/tests/test_monitoring_alerts_sprint1_static.py; arie-backoffice.html,pass:5,Not directly claimed in Word PR table,N/A,Report-mentioned PR; no direct closure evidence path located in this pass
446,Monitoring Sprint 3: document expiry refresh flow,https://github.com/onboarda1234/onboarda/pull/446,MERGED,2026-06-10T12:42:39Z,092d5ca96b7119f65c073ad441dcd7f82f86d51e,codex/monitoring-sprint3-document-expiry-refresh,arie-backend/db.py; arie-backend/migrations/scripts/migration_032_monitoring_document_refresh.sql; arie-backend/monitoring_document_refresh.py; arie-backend/server.py; arie-backend/tests/test_migration_chain_full.py; arie-backend/tests/test_monitoring_alerts_sprint1_static.py; arie-backend/tests/test_monitoring_document_refresh_api.py; arie-backend/tests/test_portal_periodic_review_notification_static.py; arie-backoffice.html; arie-portal.html,pass:5,Not directly claimed in Word PR table,N/A,Report-mentioned PR; no direct closure evidence path located in this pass
447,Fix monitoring document refresh startup repair ordering,https://github.com/onboarda1234/onboarda/pull/447,MERGED,2026-06-10T14:16:58Z,14d637362cd70a4637f361340945d056ca256513,codex/monitoring-sprint3-startup-index-hotfix,arie-backend/db.py; arie-backend/tests/test_startup_legacy_monitoring_alerts.py,pass:5,Not directly claimed in Word PR table,N/A,Report-mentioned PR; no direct closure evidence path located in this pass
448,Fix document refresh notification boolean insert,https://github.com/onboarda1234/onboarda/pull/448,MERGED,2026-06-10T15:18:59Z,7998018bbc6f40b0db8bad9789bbce165748dbc4,codex/monitoring-sprint3-notification-bool-hotfix,arie-backend/monitoring_document_refresh.py; arie-backend/tests/test_monitoring_document_refresh_api.py,pass:12,Not directly claimed in Word PR table,N/A,Report-mentioned PR; no direct closure evidence path located in this pass
449,Monitoring Sprint 3B: harden document expiry refresh UX,https://github.com/onboarda1234/onboarda/pull/449,MERGED,2026-06-10T16:32:34Z,e848551df7773f1a9676e0a64047445a2beb5258,codex/monitoring-sprint3b-document-expiry-hardening,arie-backend/enhanced_requirements.py; arie-backend/monitoring_document_refresh.py; arie-backend/server.py; arie-backend/tests/test_monitoring_alerts_sprint1_static.py; arie-backend/tests/test_monitoring_document_refresh_api.py; arie-backoffice.html; arie-portal.html,"fail:1, pass:4",Closed,evidence gap,Report-mentioned PR; no direct closure evidence path located in this pass
451,Harden admin pilot controls,https://github.com/onboarda1234/onboarda/pull/451,MERGED,2026-06-11T08:22:15Z,12f639b279206354f9d2770ca8da5ac2de1958b9,codex/admin-pilot-controls-hardening,arie-backend/server.py; arie-backend/tests/test_api.py; arie-backend/tests/test_audit_export.py; arie-backend/tests/test_backoffice_monitoring_navigation_static.py; arie-backoffice.html; docs/audits/admin_pilot_controls_hardening_post_merge_validation_20260611.md; docs/audits/admin_pilot_controls_hardening_report_20260611.md; docs/audits/regmind_admin_pages_deep_audit_20260611.md,pass:5,Not directly claimed in Word PR table,N/A,Additional scoped PR metadata
454,PROVIDER-LABEL-CLEANUP-1 remove unused provider labels,https://github.com/onboarda1234/onboarda/pull/454,MERGED,2026-06-11T16:31:06Z,2b2f51b02a4968c5e4b85a13dcaccbdb353c2afd,codex/provider-label-cleanup-1,CLAUDE.md; README.md; arie-backend/RESILIENCE_FILES.txt; arie-backend/RESILIENCE_INTEGRATION.md; arie-backend/claude_client.py; arie-backend/config.py; arie-backend/docs/screening/complyadvantage/C2-step1-oauth-client-design.md; arie-backend/environment.py; arie-backend/resilience/__init__.py; arie-backend/resilience/integration_wrappers.py; ... +27 more,pass:5,Not directly claimed in Word PR table,N/A,Additional scoped PR metadata
455,SQ-1: Enforce screening queue state integrity,https://github.com/onboarda1234/onboarda/pull/455,MERGED,2026-06-11T17:55:27Z,c933dcba3348763ca00d0e2bd64d99403aca92f3,codex/sq-1-screening-state-integrity,arie-backend/migrations/scripts/migration_033_screening_queue_state_integrity.sql; arie-backend/screening_state.py; arie-backend/server.py; arie-backend/tests/test_backoffice_ca_truthflow_static.py; arie-backend/tests/test_screening_queue_state_integrity.py; arie-backoffice.html; docs/audits/sq_1_screening_state_integrity_20260611.md,pass:5,Not directly claimed in Word PR table,N/A,Additional scoped PR metadata
456,Add 2026 RegMind product audit update,https://github.com/onboarda1234/onboarda/pull/456,MERGED,2026-06-11T17:43:41Z,6832f88e085d0c156d4fe3150d0b8b43d3c517bc,copilot/update-regmind-product-audit-report-again,docs/investor/regmind-product-audit-report-2026-update.md,not available,Not directly claimed in Word PR table,N/A,Additional scoped PR metadata
457,Add full system integrity audit report and correct stale CLAUDE.md claims,https://github.com/onboarda1234/onboarda/pull/457,MERGED,2026-06-11T17:51:37Z,c795241a0ac24306c8172333f9ebec7750e27c0b,copilot/regmind-full-product-integrity-audit,CLAUDE.md; docs/audits/full_system_integrity_audit_20260611.md,not available,Not directly claimed in Word PR table,N/A,Additional scoped PR metadata
458,Fix provider label policy regression in investor doc,https://github.com/onboarda1234/onboarda/pull/458,MERGED,2026-06-11T18:21:26Z,7372ed71cbc90ca24793738c95704f7143d78bee,codex/sq1-main-provider-label-ci-fix,docs/investor/regmind-product-audit-report-2026-update.md,pass:5,Not directly claimed in Word PR table,N/A,Additional scoped PR metadata
459,KYC-1A: Add Sumsub IDV back-office visibility,https://github.com/onboarda1234/onboarda/pull/459,MERGED,2026-06-12T03:25:02Z,63cfca1fe03883f167895807821e238809293bd7,codex/kyc-1a-sumsub-idv-backoffice-visibility,arie-backend/server.py; arie-backend/sumsub_idv_status.py; arie-backend/tests/test_kyc_1a_sumsub_idv_visibility.py; arie-backend/tests/test_phase4_remediation.py; arie-backoffice.html; docs/audits/kyc_1a_sumsub_idv_backoffice_visibility_20260611.md,pass:5,Not directly claimed in Word PR table,N/A,Additional scoped PR metadata
460,Fix KYC-1A Sumsub IDV audit lookup on Postgres,https://github.com/onboarda1234/onboarda/pull/460,MERGED,2026-06-12T04:15:35Z,80bd59a79f066750dd8d3d9f673912c785b9fa14,codex/kyc-1a-postgres-like-fix,arie-backend/sumsub_idv_status.py; arie-backend/tests/test_kyc_1a_sumsub_idv_visibility.py,pass:5,Not directly claimed in Word PR table,N/A,Additional scoped PR metadata
461,Fix Sumsub IDV audit timestamp lookup,https://github.com/onboarda1234/onboarda/pull/461,MERGED,2026-06-12T05:27:24Z,9f719ac579a0e7d2451d29c1b398681250e67a6a,codex/kyc-1a-audit-log-timestamp-fix,arie-backend/sumsub_idv_status.py; arie-backend/tests/test_kyc_1a_sumsub_idv_visibility.py,pass:5,Not directly claimed in Word PR table,N/A,Additional scoped PR metadata
462,Fix screening provider truth and IDV approval gates,https://github.com/onboarda1234/onboarda/pull/462,MERGED,2026-06-12T15:50:55Z,7f94117f5e8f75e9e3c4dce435b2bef6656523d5,codex/sprint1-screening-sumsub-comply-integrity,arie-backend/db.py; arie-backend/environment.py; arie-backend/migrations/scripts/migration_034_idv_resolutions.sql; arie-backend/screening.py; arie-backend/screening_state.py; arie-backend/security_hardening.py; arie-backend/server.py; arie-backend/sumsub_idv_status.py; arie-backend/tests/conftest.py; arie-backend/tests/test_case_command_centre_runtime.py; ... +10 more,pass:4,Not directly claimed in Word PR table,N/A,Additional scoped PR metadata
464,[codex] Clean up backoffice provider runtime labels,https://github.com/onboarda1234/onboarda/pull/464,MERGED,2026-06-12T17:11:08Z,2811c84e2f2a533b62df0de2a6b3ee842dcff0a8,codex/provider-label-cleanup-2-backoffice-runtime,README.md; arie-backend/scripts/qa/staging_browser_smoke.js; arie-backend/server.py; arie-backend/tests/test_api.py; arie-backend/tests/test_authenticated_staging_browser_smoke.py; arie-backend/tests/test_provider_label_policy.py; arie-backend/virtual-team/TEAM.md; arie-backend/virtual-team/arie-backend-dev.md; arie-backoffice.html; docs/DEPLOYMENT_RUNBOOK.md; ... +1 more,pass:4,Not directly claimed in Word PR table,N/A,Additional scoped PR metadata
467,KYC-1A-UX: Move Sumsub IDV panel to Section B compact layout,https://github.com/onboarda1234/onboarda/pull/467,MERGED,2026-06-13T05:37:09Z,b387898d26bf143bfd94489e7b5807f2ff6d5e62,codex/kyc-1a-idv-section-b-compact-layout,arie-backend/tests/test_case_command_centre_runtime.py; arie-backend/tests/test_kyc_1a_sumsub_idv_visibility.py; arie-backoffice.html; docs/audits/kyc1a_idv_section_b_browser_20260613/browser-results.json; docs/audits/kyc1a_idv_section_b_browser_20260613/expanded-idv-details.png; docs/audits/kyc1a_idv_section_b_browser_20260613/mobile-section-b-idv.png; docs/audits/kyc1a_idv_section_b_browser_20260613/overview-no-full-idv.png; docs/audits/kyc1a_idv_section_b_browser_20260613/resolve-idv-modal.png; docs/audits/kyc1a_idv_section_b_browser_20260613/section-b-compact-idv.png; docs/audits/kyc_1a_idv_section_b_compact_layout_20260613.md,pass:4,Not directly claimed in Word PR table,N/A,Additional scoped PR metadata
