Area/module,PR/workstream,PR number,GitHub title,Issue addressed,Scope/files,Merge SHA,Deployed SHA,Validation type,Final verdict,Limitation,Evidence path,Follow-up required,Pilot impact
Screening / Provider,#440,440,[codex] SQ-1 screening queue state integrity,[codex] SQ-1 screening queue state integrity,arie-backend/screening_state.py; arie-backend/server.py; arie-backend/tests/test_api.py; arie-backend/tests/test_declared_pep_truthfulness_priority_a2.py; arie-backend/tests/test_screening_queue.py; arie-backend/tests/test_screening_queue_state_integrity.py; arie-backend/tests/test_screening_review.py; arie-backend/tests/test_screening_state_priority_a.py,9553639fcb8bb67fed97b0173662f58a9d590c1c,,"## Validation Run locally with Python 3.11: - `pytest arie-backend/tests/test_screening_queue_state_integrity.py arie-backend/tests/test_screening_queue.py arie-backend/tests/test_screening_review.py arie-backend/tests/test_screening_state_priority_a.py arie-backend/tests/test_api.py -k ""screening_queue or screening_review or screening or ScreeningQueueSerializer"" -q` — 99 passed - `pytest arie-backend/tests/test_backoffice_ca_truthflow_static.py arie-backend/tests/test_inline_screening_runtime.py -q` — 34 passed - `pytest arie-backend/tests/test_screening*.py arie-backend/tests/test_complyadvantage_*.py -q` — 918 passed, 2 skipped",audit-only,Evidence gap: no directly matched closure report located for this recon pass,,Add closure report path or downgrade status if report currently says closed,Pilot impact should be cited from closure evidence
General Remediation,#441,441,[codex] SQ-1 queue payload integrity follow-up,[codex] SQ-1 queue payload integrity follow-up,arie-backend/server.py; arie-backend/tests/test_screening_queue_state_integrity.py,a1982f8621aa14bb738acc1eb7bd2ffbb2bedae3,,"## Tests - `/opt/homebrew/bin/python3.11 -m pytest arie-backend/tests/test_screening_queue_state_integrity.py arie-backend/tests/test_screening_queue.py arie-backend/tests/test_screening_review.py arie-backend/tests/test_screening_state_priority_a.py arie-backend/tests/test_declared_pep_truthfulness_priority_a2.py arie-backend/tests/test_api.py -k ""screening_queue or screening_review or screening or ScreeningQueueSerializer or declared_pep"" -q` - `/opt/homebrew/bin/python3.11 -m pytest arie-backend/tests/test_screening*.py arie-backend/tests/test_complyadvantage_*.py arie-backend/tests/test_declared_pep_truthfulness_priority_a2.py -q`",audit-only,Evidence gap: no directly matched closure report located for this recon pass,,Add closure report path or downgrade status if report currently says closed,Pilot impact should be cited from closure evidence
Screening / Provider,#442,442,SQ-2 Screening Queue evidence readiness,SQ-2 Screening Queue evidence readiness,arie-backend/server.py; arie-backend/tests/test_backoffice_ca_truthflow_static.py; arie-backend/tests/test_screening_queue.py; arie-backoffice.html,d5e3f6cfb9e2f968df60bcf6d67e7105b189abe0,,"## Evidence linking approach - Exact link: risk/match/profile/alert identifiers, with explicit subject mismatch blocking attachment. - Case identifier link: allowed only with no subject conflict and category alignment. - Conservative fallback: same application, same provider, explicit subject match, and category match. - Source/article URLs are never invented; missing URLs display: `Source link not available from provider payload.` ## Tests run - `/opt/homebrew/bin/python3.11 -m py_compile arie-backend/server.py` - `/opt/homebrew/bin/python3.11 -m pytest arie-backend/tests/test_screening_queue.py arie-backend/tests/test_screening_queue_state_integrity.py arie-backend/tests/test_backoffice_ca_truthflow_static.py -q` -> 50 passed",audit-only,Evidence gap: no directly matched closure report located for this recon pass,,Add closure report path or downgrade status if report currently says closed,Pilot impact should be cited from closure evidence
Screening / Provider,#443,443,SQ-3 Provider evidence quality diagnostics,SQ-3 Provider evidence quality diagnostics,arie-backend/screening_complyadvantage/evidence.py; arie-backend/scripts/screening_queue_evidence_diagnostics.py; arie-backend/server.py; arie-backend/tests/test_backoffice_ca_truthflow_static.py; arie-backend/tests/test_complyadvantage_evidence_backfill.py; arie-backend/tests/test_screening_queue.py; arie-backoffice.html,1318c6857929754170a9806bcae78a34617c27ad,,"## Tests run - `python3.11 -m py_compile arie-backend/server.py arie-backend/screening_complyadvantage/evidence.py arie-backend/scripts/screening_queue_evidence_diagnostics.py` - `python3.11 -m pytest arie-backend/tests/test_screening_queue.py arie-backend/tests/test_complyadvantage_evidence_backfill.py arie-backend/tests/test_backoffice_ca_truthflow_static.py -q` — 45 passed - `python3.11 -m pytest arie-backend/tests/test_screening*.py arie-backend/tests/test_complyadvantage_*.py arie-backend/tests/test_declared_pep_truthfulness_priority_a2.py -q` — 946 passed, 2 skipped - `python3.11 -m pytest arie-backend/tests/test_inline_screening_runtime.py arie-backend/tests/test_backoffice_inline_script_static.py -q` — 14 passed",audit-only,Evidence gap: no directly matched closure report located for this recon pass,,Add closure report path or downgrade status if report currently says closed,Pilot impact should be cited from closure evidence
General Remediation,#444,444,SQ-3 preserve evidence reasons in detail view,SQ-3 preserve evidence reasons in detail view,arie-backend/tests/test_backoffice_ca_truthflow_static.py; arie-backoffice.html,45b5176650ac2887e7830743241204367382fad1,,## Tests - `python3.11 -m pytest arie-backend/tests/test_backoffice_ca_truthflow_static.py -q` - `node --check /tmp/regmind_sq3_backoffice_inline_fix.js` - `git diff --check`,audit-only,Evidence gap: no directly matched closure report located for this recon pass,,Add closure report path or downgrade status if report currently says closed,Pilot impact should be cited from closure evidence
Monitoring,#445,445,MA-2C simplify monitoring alert detail,MA-2C simplify monitoring alert detail,arie-backend/tests/test_monitoring_alerts_sprint1_static.py; arie-backoffice.html,61928e1a232484dbcd70804d6381d10b54482ff6,,## Tests run - `python3.11 -m pytest arie-backend/tests/test_monitoring_alerts_sprint1_static.py arie-backend/tests/test_monitoring_alerts_sprint2_api.py -q` - `python3.11 -m pytest arie-backend/tests/test_backoffice_*static.py arie-backend/tests/test_application_lifecycle_tab_shell_static.py arie-backend/tests/test_backoffice_ca_truthflow_static.py -q` - `python3.11 -m pytest arie-backend/tests/test_monitoring_alerts_sprint2_api.py arie-backend/tests/test_monitoring_automation.py arie-backend/tests/test_monitoring_routing.py -q` - `python3.11 -m py_compile arie-backend/tests/test_monitoring_alerts_sprint1_static.py` - `node --check /tmp/regmind_ma2c_backoffice_inline.js` - `git diff --check`,audit-only,Evidence gap: no directly matched closure report located for this recon pass,,Add closure report path or downgrade status if report currently says closed,Pilot impact should be cited from closure evidence
KYC Documents / Agent 1,#446,446,Monitoring Sprint 3: document expiry refresh flow,Monitoring Sprint 3: document expiry refresh flow,arie-backend/db.py; arie-backend/migrations/scripts/migration_032_monitoring_document_refresh.sql; arie-backend/monitoring_document_refresh.py; arie-backend/server.py; arie-backend/tests/test_migration_chain_full.py; arie-backend/tests/test_monitoring_alerts_sprint1_static.py; arie-backend/tests/test_monitoring_document_refresh_api.py; arie-backend/tests/test_portal_periodic_review_notification_static.py; ... +2 more,092d5ca96b7119f65c073ad441dcd7f82f86d51e,,## Tests run - `pytest -q arie-backend/tests/test_monitoring_document_refresh_api.py arie-backend/tests/test_monitoring_alerts_sprint1_static.py arie-backend/tests/test_portal_periodic_review_notification_static.py arie-backend/tests/test_monitoring_alerts_sprint2_api.py arie-backend/tests/test_migration_chain_full.py arie-backend/tests/test_screening_queue.py arie-backend/tests/test_screening_queue_state_integrity.py arie-backend/tests/test_screening_review.py -q` - `python3 -m py_compile arie-backend/monitoring_document_refresh.py arie-backend/server.py arie-backend/db.py arie-backend/tests/test_monitoring_document_refresh_api.py arie-backend/tests/test_migration_chain_full.py` - `git diff --check`,audit-only,Evidence gap: no directly matched closure report located for this recon pass,,Add closure report path or downgrade status if report currently says closed,Pilot impact should be cited from closure evidence
KYC Documents / Agent 1,#447,447,Fix monitoring document refresh startup repair ordering,Fix monitoring document refresh startup repair ordering,arie-backend/db.py; arie-backend/tests/test_startup_legacy_monitoring_alerts.py,14d637362cd70a4637f361340945d056ca256513,,"## Tests Local: - `pytest -q arie-backend/tests/test_startup_legacy_monitoring_alerts.py arie-backend/tests/test_monitoring_document_refresh_api.py arie-backend/tests/test_migration_chain_full.py` - `15 passed, 4 skipped` - `python3 -m py_compile arie-backend/db.py arie-backend/tests/test_startup_legacy_monitoring_alerts.py` - `git diff --check`",audit-only,Evidence gap: no directly matched closure report located for this recon pass,,Add closure report path or downgrade status if report currently says closed,Pilot impact should be cited from closure evidence
KYC Documents / Agent 1,#448,448,Fix document refresh notification boolean insert,Fix document refresh notification boolean insert,arie-backend/monitoring_document_refresh.py; arie-backend/tests/test_monitoring_document_refresh_api.py,7998018bbc6f40b0db8bad9789bbce165748dbc4,,## Tests run - `pytest -q arie-backend/tests/test_monitoring_document_refresh_api.py` - `pytest -q arie-backend/tests/test_startup_legacy_monitoring_alerts.py arie-backend/tests/test_monitoring_document_refresh_api.py` - `python3 -m py_compile arie-backend/monitoring_document_refresh.py arie-backend/tests/test_monitoring_document_refresh_api.py` - `git diff --check`,audit-only,Evidence gap: no directly matched closure report located for this recon pass,,Add closure report path or downgrade status if report currently says closed,Pilot impact should be cited from closure evidence
KYC Documents / Agent 1,#449,449,Monitoring Sprint 3B: harden document expiry refresh UX,Monitoring Sprint 3B: harden document expiry refresh UX,arie-backend/enhanced_requirements.py; arie-backend/monitoring_document_refresh.py; arie-backend/server.py; arie-backend/tests/test_monitoring_alerts_sprint1_static.py; arie-backend/tests/test_monitoring_document_refresh_api.py; arie-backoffice.html; arie-portal.html,e848551df7773f1a9676e0a64047445a2beb5258,,## Tests run - `pytest -q arie-backend/tests/test_monitoring_document_refresh_api.py` - `pytest -q arie-backend/tests/test_monitoring_alerts_sprint1_static.py` - `pytest -q arie-backend/tests/test_backoffice_inline_script_static.py` - `pytest -q arie-backend/tests/test_document_versioning.py arie-backend/tests/test_application_enhanced_requirements.py arie-backend/tests/test_monitoring_alerts_sprint2_api.py arie-backend/tests/test_screening_queue_state_integrity.py` - `pytest -q arie-backend/tests/test_backoffice_monitoring_navigation_static.py arie-backend/tests/test_enhanced_requirement_settings.py` - `pytest -q arie-backend/tests/test_periodic_review_document_requests.py arie-backend/tests/test_backoffice_periodic_review_documents_static.py arie-backend/tests/test_portal_periodic_review_documents_static.py`,audit-only,Evidence gap: no directly matched closure report located for this recon pass,,Add closure report path or downgrade status if report currently says closed,Pilot impact should be cited from closure evidence
General Remediation,#469,469,PR-1 — Security Client API Boundary Hardening,PR-1 — Security Client API Boundary Hardening,arie-backend/base_handler.py; arie-backend/server.py; arie-backend/tests/test_api.py; arie-backend/tests/test_application_enhanced_requirements.py; arie-backend/tests/test_auth.py; arie-backend/tests/test_pr1_client_api_boundary.py; docs/audits/evidence/remediation_sprints/PR-1_security-client-api-boundary-hardening_20260613T070139Z/api_smoke.md; docs/audits/evidence/remediation_sprints/PR-1_security-client-api-boundary-hardening_20260613T070139Z/browser_smoke.md; ... +7 more,7806ea68addfab81f88c1d58a43a89acd52acb9d,,## Tests added/updated - Added `tests/test_pr1_client_api_boundary.py` - Updated auth/client expectation tests to use `/api/portal/applications` for client-visible application lists. - Updated stale tests that expected clients to read `/api/applications`. ## Evidence pack `docs/audits/evidence/remediation_sprints/PR-1_security-client-api-boundary-hardening_20260613T070139Z/`,audit-only,Evidence gap: no directly matched closure report located for this recon pass,,Add closure report path or downgrade status if report currently says closed,Pilot impact should be cited from closure evidence
General Remediation,#470,470,PR-1B — Client Notification Data Boundary Hardening,PR-1B — Client Notification Data Boundary Hardening,arie-backend/server.py; arie-backend/tests/test_pr1b_client_notification_boundary.py; docs/audits/evidence/remediation_sprints/PR-1B_client-notification-data-boundary-hardening_20260613T093629Z/api_smoke.md; docs/audits/evidence/remediation_sprints/PR-1B_client-notification-data-boundary-hardening_20260613T093629Z/browser_smoke.md; docs/audits/evidence/remediation_sprints/PR-1B_client-notification-data-boundary-hardening_20260613T093629Z/closure_report.md; docs/audits/evidence/remediation_sprints/PR-1B_client-notification-data-boundary-hardening_20260613T093629Z/diagnosis.md; docs/audits/evidence/remediation_sprints/PR-1B_client-notification-data-boundary-hardening_20260613T093629Z/full_suite_results.md; docs/audits/evidence/remediation_sprints/PR-1B_client-notification-data-boundary-hardening_20260613T093629Z/root_cause.md; ... +4 more,12be9e5c3d127400b6f74d7013bab1ae63d418b7,,"## Validation ```bash /opt/homebrew/bin/python3.11 -m py_compile arie-backend/server.py arie-backend/tests/test_pr1b_client_notification_boundary.py # PASS /opt/homebrew/bin/python3.11 -m flake8 arie-backend/server.py arie-backend/tests/test_pr1b_client_notification_boundary.py --select=E9,F63,F7,F82 # PASS git diff --check # PASS /opt/homebrew/bin/python3.11 -m pytest \ arie-backend/tests/test_pr1b_client_notification_boundary.py \ arie-backend/tests/test_pr1_client_api_boundary.py \ arie-backend/tests/test_rmi_requests.py \ -q # 13 passed in 6.66s /opt/homebrew/bin/python3.11 -m pytest arie-backend/tests -q # 5253 passed, 25 skipped in 273.13s ``` ## Evidence Pack `docs/audits/evidence/remediation_sprints/PR-1B_client-notification-data-boundary-hardening_20260613T093629Z/`",audit-only,Evidence gap: no directly matched closure report located for this recon pass,,Add closure report path or downgrade status if report currently says closed,Pilot impact should be cited from closure evidence
Application Review,#471,471,PR-1C — Client Application RMI Boundary Hardening,PR-1C — Client Application RMI Boundary Hardening,arie-backend/server.py; arie-backend/tests/test_pr1b_client_notification_boundary.py; docs/audits/evidence/remediation_sprints/PR-1C_client-application-rmi-boundary-hardening_20260613T104000Z/api_smoke.md; docs/audits/evidence/remediation_sprints/PR-1C_client-application-rmi-boundary-hardening_20260613T104000Z/browser_smoke.md; docs/audits/evidence/remediation_sprints/PR-1C_client-application-rmi-boundary-hardening_20260613T104000Z/closure_report.md; docs/audits/evidence/remediation_sprints/PR-1C_client-application-rmi-boundary-hardening_20260613T104000Z/diagnosis.md; docs/audits/evidence/remediation_sprints/PR-1C_client-application-rmi-boundary-hardening_20260613T104000Z/full_suite_results.md; docs/audits/evidence/remediation_sprints/PR-1C_client-application-rmi-boundary-hardening_20260613T104000Z/root_cause.md; ... +3 more,b4d1f7387ab03eca849a451bedc98b5208e0ddba,,"## Tests Local: - `git diff --check` — PASS - `/opt/homebrew/bin/python3.11 -m py_compile arie-backend/server.py arie-backend/tests/test_pr1b_client_notification_boundary.py` — PASS - `/opt/homebrew/bin/python3.11 -m flake8 arie-backend/server.py arie-backend/tests/test_pr1b_client_notification_boundary.py --select=E9,F63,F7,F82` — PASS - `/opt/homebrew/bin/python3.11 -m pytest arie-backend/tests/test_pr1b_client_notification_boundary.py arie-backend/tests/test_pr1_client_api_boundary.py -q` — PASS, 9 passed Full local backend suite: - BLOCKED by known local WeasyPrint/Pango CFFI segmentation fault during test collection. GitHub CI must be authoritative for full-suite/PDF evidence.",audit-only,Evidence gap: no directly matched closure report located for this recon pass,,Add closure report path or downgrade status if report currently says closed,Pilot impact should be cited from closure evidence
Application Review,#472,472,CCC-2B: Clean Application Review density,CCC-2B: Clean Application Review density,arie-backend/tests/test_application_lifecycle_tab_shell_static.py; arie-backend/tests/test_backoffice_periodic_review_baseline_static.py; arie-backend/tests/test_backoffice_periodic_review_workspace_static.py; arie-backend/tests/test_case_command_centre_runtime.py; arie-backend/tests/test_export_pack_ui_static.py; arie-backend/tests/test_officer_corrections.py; arie-backoffice.html; docs/audits/ccc_2b_application_review_density_cleanup_20260613.md,460df77eed4a1d6865c8827d0f2f54042e6c85dd,,"## Tests run - `python3 -m py_compile server.py security_hardening.py base_handler.py screening_state.py sumsub_idv_status.py` - PASS - `pytest -q arie-backend/tests/test_case_command_centre_runtime.py arie-backend/tests/test_backoffice_periodic_review_baseline_static.py arie-backend/tests/test_backoffice_periodic_review_workspace_static.py arie-backend/tests/test_application_lifecycle_tab_shell_static.py arie-backend/tests/test_export_pack_ui_static.py arie-backend/tests/test_officer_corrections.py -q` - PASS, 111 tests - `pytest -q arie-backend/tests/test_api.py -k ""approval or blocker or command or idv or memo or screening""` - PASS, 35 selected tests - `pytest -q arie-backend/tests/test_kyc_1a_sumsub_idv_visibility.py arie-backend/tests/test_screening_queue_state_integrity.py arie-backend/tests/test_provider_label_policy.py arie-backend/tests/test_backoffice_ca_truthflow_static.py ari",audit-only,Evidence gap: no directly matched closure report located for this recon pass,,Add closure report path or downgrade status if report currently says closed,Pilot impact should be cited from closure evidence
General Remediation,#473,473,PR-2 — Auth Logout Token Revocation Enforcement,PR-2 — Auth Logout Token Revocation Enforcement,arie-backend/security_hardening.py; arie-backend/tests/test_sprint35.py; docs/audits/evidence/remediation_sprints/PR-2_auth-logout-token-revocation-enforcement_20260613T112500Z/api_smoke.md; docs/audits/evidence/remediation_sprints/PR-2_auth-logout-token-revocation-enforcement_20260613T112500Z/browser_smoke.md; docs/audits/evidence/remediation_sprints/PR-2_auth-logout-token-revocation-enforcement_20260613T112500Z/closure_report.md; docs/audits/evidence/remediation_sprints/PR-2_auth-logout-token-revocation-enforcement_20260613T112500Z/diagnosis.md; docs/audits/evidence/remediation_sprints/PR-2_auth-logout-token-revocation-enforcement_20260613T112500Z/full_suite_results.md; docs/audits/evidence/remediation_sprints/PR-2_auth-logout-token-revocation-enforcement_20260613T112500Z/root_cause.md; ... +3 more,3f00f491c75a5605440d56899bebb9e513cc1cb3,,## Tests Added / Updated Added negative regressions proving a stale worker cache still rejects: - logged-out bearer token on `/api/auth/me` and `/api/applications` - logged-out cookie token on `/api/auth/me` and `/api/applications` - logged-out client bearer token on `/api/auth/me` and `/api/portal/applications` ## Validation Static / compile: ```bash /opt/homebrew/bin/python3.11 -m py_compile arie-backend/security_hardening.py arie-backend/tests/test_sprint35.py # passed git diff --check # passed ``` Targeted new regressions: ```bash /opt/homebrew/bin/python3.11 -m pytest \ arie-backend/tests/test_sprint35.py::TestLogout::test_logout_revocation_survives_stale_worker_cache_for_bearer \ arie-backend/tests/test_sprint35.py::TestLogout::test_logout_revocation_survives_stale_worker_cache_for_cookie \,audit-only,Evidence gap: no directly matched closure report located for this recon pass,,Add closure report path or downgrade status if report currently says closed,Pilot impact should be cited from closure evidence
