Report section,PR/workstream,Claimed status,Claimed verdict,Claimed SHA,Claimed evidence,Claimed limitation,Notes
4. Detailed Recent PR Register,#614 PR-KYC-DOCS-MISSING-WORDING-CLEANUP-1,Closed PASS,Closed PASS,,Runtime SHA/image matched; CloudWatch clean; exact policy-missing state partly static/renderer proven.,,Extracted from Desktop DOCX copy
4. Detailed Recent PR Register,#615 PR-MONITORING-LIST-PAGINATION-FIXTURE-FILTER-AND-TYPE-CLEANUP-1,Closed PASS with validation limitation,Closed PASS with validation limitation,,Lower-privilege unauthorized fixture opt-in not directly retested.,,Extracted from Desktop DOCX copy
4. Detailed Recent PR Register,#616 PRS-NEXT-REVIEW-RECONCILIATION-TESTS-1,Closed PASS,Closed PASS,,Test-only; no product logic changed.,,Extracted from Desktop DOCX copy
4. Detailed Recent PR Register,#617 PRS-UX1 Periodic Review Tab Simplification,Closed PASS,Closed PASS,,No backend/lifecycle changes.,,Extracted from Desktop DOCX copy
4. Detailed Recent PR Register,#618 PR-KYC-DOCS-VERIFICATION-POLICY-MAPPING-1,Closed PASS,Closed PASS,e229bbc243472f8e2cfebe0dfe90183e4f6f76aa,Merged/deployed SHA e229bbc243472f8e2cfebe0dfe90183e4f6f76aa; live staging proved standard doc policy mapping.,,Extracted from Desktop DOCX copy
4. Detailed Recent PR Register,#619 PRS-UX1B Periodic Review Blocker Deduplication,Closed PASS with validation limitation,Closed PASS with validation limitation,,Validated on newer main SHA including #619.,Validated on newer main SHA including #619.,Extracted from Desktop DOCX copy
4. Detailed Recent PR Register,#620 PR-BACKOFFICE-FLOATING-WIDGET-PAGINATION-OBSTRUCTION-1,Closed PASS,Closed PASS,,Unblocked #615 browser pagination closure.,,Extracted from Desktop DOCX copy
4. Detailed Recent PR Register,#621 PR-KYC-DOCS-FINDING-DUPLICATE-SUMMARY-CLEANUP-1,Closed PASS,Closed PASS,,UI rendering only; no verification truth changes.,,Extracted from Desktop DOCX copy
4. Detailed Recent PR Register,#622 PR-KYC-DOCS-VERIFICATION-DETAILS-AND-REVERIFY-ACTION-1,Closed PASS after #624,Closed PASS after #624,7f7fbe656e1c0cf8eb861b232fd848c8ae452af4,Final deployed SHA 7f7fbe656e1c0cf8eb861b232fd848c8ae452af4 includes #622/#624.,,Extracted from Desktop DOCX copy
4. Detailed Recent PR Register,#623 PR-SCREENING-DETAIL-EVIDENCE-HYDRATION-PERF-1,Closed PASS,Closed PASS,f5d7649bc9b096c34b394b3b51de4694c6a30e4d,"Merged/deployed SHA f5d7649bc9b096c34b394b3b51de4694c6a30e4d; normal row shell 11ms, hydration 814ms.",,Extracted from Desktop DOCX copy
4. Detailed Recent PR Register,#624 PR-KYC-DOCS-REVERIFY-TERMINAL-STATE-GUARD-1,Closed PASS,Closed PASS,,Resolved #622 closure blocker.,,Extracted from Desktop DOCX copy
4. Detailed Recent PR Register,#625 PR-APPLICATION-FIELD-PROVENANCE-MISMATCH-INDICATORS-1,Closed PASS with validation limitation,Closed PASS with validation limitation,,Mismatch branch validated with deployed JS synthetic DOM; no live mismatch data found.,Mismatch branch validated with deployed JS synthetic DOM; no live mismatch data found.,Extracted from Desktop DOCX copy
4. Detailed Recent PR Register,#626 PR-KYC-DOCS-OFFICER-UPLOAD-DOCUMENT-TYPE-LIST-1,Closed PASS,Closed PASS,43cc7a31658e34006239c9c0fb8dd565a9d433ab,Merged/deployed SHA 43cc7a31658e34006239c9c0fb8dd565a9d433ab; no upload/mutation performed.,,Extracted from Desktop DOCX copy
4. Detailed Recent PR Register,#627 PRS-MEMO-ADDENDUM-POST-COMPLETION-ERROR-GUARD-1,Closed PASS,Closed PASS,ea33cdfdba8be1dcdca97984c287ce1288efbe49,Merged/deployed SHA ea33cdfdba8be1dcdca97984c287ce1288efbe49; controlled fixture completion passed.,,Extracted from Desktop DOCX copy
5. Earlier Remediation Streams,#410 / #418 Screening Workflow Audit remediation,Closed PASS,Closed PASS,a733b10a284b39bc6eef1c78ad997ace5790df51,Fixed Screening Review save/navigation defects; validated merged-main AWS staging. Final main SHA a733b10a284b39bc6eef1c78ad997ace5790df51.,,Extracted from Desktop DOCX copy
5. Earlier Remediation Streams,#431 Risk score source-of-truth consistency,Closed PASS,Closed PASS,,Aligned authoritative risk score display/storage; validated DB risk score and staging version/image.,,Extracted from Desktop DOCX copy
5. Earlier Remediation Streams,#433–#449 Monitoring Sprints 1–3B,Closed,Closed,,Earlier Monitoring queue/cards/status/routing foundations; later list cleanup completed in #615.,,Extracted from Desktop DOCX copy
5. Earlier Remediation Streams,#436–#439 ComplyAdvantage signed webhook and backfill,Closed,Closed,,Provider/webhook hardening for ComplyAdvantage sandbox integration.,,Extracted from Desktop DOCX copy
5. Earlier Remediation Streams,#440–#444 Screening Queue SQ-1/2/3,Closed,Closed,,Screening Queue workflow and list improvements before #610 performance follow-up.,,Extracted from Desktop DOCX copy
5. Earlier Remediation Streams,#469–#477 FSI-001/002/003/005/006/007,Closed,Closed,,Pilot-scope / financial-services infrastructure remediations; exact details to reconcile with tracker.,Exact details require tracker/evidence reconciliation,Extracted from Desktop DOCX copy
5. Earlier Remediation Streams,#512 CA Sandbox prescreening 503 fix,Closed PASS,Closed PASS,,Fixed ComplyAdvantage Mesh strict create-and-screen payload rejection; staging portal submit 200.,,Extracted from Desktop DOCX copy
5. Earlier Remediation Streams,#516–#518 Pilot-scope/version/smoke hardening,Closed PASS,Closed PASS,,Improved version/evidence smoke contract and canonical surface verification.,,Extracted from Desktop DOCX copy
5. Earlier Remediation Streams,#608 / #609 / #611 Pilot data segmentation and fixture hiding,Closed PASS,Closed PASS,,Hid fixture/test rows by default across pilot surfaces; internal toggle remained available.,,Extracted from Desktop DOCX copy
5. Earlier Remediation Streams,#610 Screening Queue query performance,Closed PASS with follow-up,Closed PASS with follow-up,,Fixed queue list latency to around 1s; left include_evidence detail hydration follow-up later closed by #623.,,Extracted from Desktop DOCX copy
5. Earlier Remediation Streams,#612 Screening Review document banner removal,Closed PASS,Closed PASS,,Removed duplicate Screening Review document banner while preserving document blockers elsewhere.,,Extracted from Desktop DOCX copy
6. Audits and E2E Validation Tasks,PR-SCREENING-DETAIL-EVIDENCE-HYDRATION-PERF-AUDIT-1,FAIL / fix needed,FAIL / fix needed,,Found 13–29s detail load for evidence-bearing rows; led to #623.,,Extracted from Desktop DOCX copy
6. Audits and E2E Validation Tasks,PR-APPLICATION-VERIFIED-FIELD-INDICATORS-AUDIT-1,FAIL / fix needed,FAIL / fix needed,,No missing green ticks for ARF-2026-920017 under contract; found missing non-green Missing/Mismatch indicators; led to #625.,,Extracted from Desktop DOCX copy
6. Audits and E2E Validation Tasks,PR-KYC-DOCS-OFFICER-UPLOAD-DOCUMENT-TYPE-LIST-AUDIT-1,FAIL / fix needed,FAIL / fix needed,,Dropdown hardcoded/incomplete; missing passport/national_id; led to #626.,,Extracted from Desktop DOCX copy
6. Audits and E2E Validation Tasks,PERIODIC-REVIEW-FINAL-E2E-1,PASS with validation limitation,PASS with validation limitation,,Read-only queue/workspace flow passed; limited by unavailable states and no live completion path.,Read-only queue/workspace flow passed; limited by unavailable states and no live completion path.,Extracted from Desktop DOCX copy
6. Audits and E2E Validation Tasks,PERIODIC-REVIEW-FULL-COMPLETION-CYCLE-PROOF-1,PASS with limitation,PASS with limitation,,"Hidden fixture completion proved modern completion, audit trail, terminal immutability, next cycle, legacy bypass block; led to #627 log guard.",,Extracted from Desktop DOCX copy
6. Audits and E2E Validation Tasks,APPLICATION-REVIEW-FINAL-BROWSER-SMOKE-1,PASS with limitation,PASS with limitation,,Functional smoke passed but staging was behind audited origin/main.,Functional smoke passed but staging was behind audited origin/main.,Extracted from Desktop DOCX copy
6. Audits and E2E Validation Tasks,APPLICATION-REVIEW-FINAL-BROWSER-SMOKE-RERUN-1,PASS,PASS,,"Runtime/source aligned; no inappropriate green ticks, no client-declared badge, navigation worked, browser/CloudWatch clean.",,Extracted from Desktop DOCX copy
7. Controls Strengthened,"Document verification explainability / Completed checks/fallback, method dots, no misleading Expected checks missing box, technical audit details retained.","Completed checks/fallback, method dots, no misleading Expected checks missing box, technical audit details retained.",,,,,Extracted from Desktop DOCX copy
7. Controls Strengthened,"Document action eligibility / Re-verify visible only for eligible uploaded pending/failed/stale/system issue docs, hidden for Verified and Manual accepted terminal states.","Re-verify visible only for eligible uploaded pending/failed/stale/system issue docs, hidden for Verified and Manual accepted terminal states.",,,,,Extracted from Desktop DOCX copy
7. Controls Strengthened,Document policy mapping / Back Office recognises canonical policy payload keys; standard docs no longer falsely display policy missing.,Back Office recognises canonical policy payload keys; standard docs no longer falsely display policy missing.,,,,,Extracted from Desktop DOCX copy
7. Controls Strengthened,"Officer upload classification / Officer dropdown now includes person identity types passport/national_id, reducing wrong-category upload risk.","Officer dropdown now includes person identity types passport/national_id, reducing wrong-category upload risk.",,,,,Extracted from Desktop DOCX copy
7. Controls Strengthened,Screening performance / Evidence-bearing rows no longer block first detail render; slow broad search path eliminated.,Evidence-bearing rows no longer block first detail render; slow broad search path eliminated.,,,,,Extracted from Desktop DOCX copy
7. Controls Strengthened,"Periodic Review lifecycle / Modern completion, terminal immutability, audit rows, next-cycle creation and legacy replay blocking proven.","Modern completion, terminal immutability, audit rows, next-cycle creation and legacy replay blocking proven.",,,,,Extracted from Desktop DOCX copy
7. Controls Strengthened,Application Review provenance / Non-green Missing/Mismatch indicators surface source/current conflicts without expanding green verified ticks.,Non-green Missing/Mismatch indicators surface source/current conflicts without expanding green verified ticks.,,,,,Extracted from Desktop DOCX copy
7. Controls Strengthened,Fixture hygiene / Test/smoke data hidden by default across major surfaces with internal opt-in available.,Test/smoke data hidden by default across major surfaces with internal opt-in available.,,,,,Extracted from Desktop DOCX copy
7. Controls Strengthened,"Operational closure discipline / Runtime/version alignment, browser checks and CloudWatch side-effect scans are now standard.","Runtime/version alignment, browser checks and CloudWatch side-effect scans are now standard.",,,,,Extracted from Desktop DOCX copy
8. Residual Limitations and Open Workstreams,Monitoring workflow integration,P1,open residual,,"Agents pilot visibility, Application Alerts linkage/status sync, document request/upload flow, adverse/screening workflow action model still pending.","Agents pilot visibility, Application Alerts linkage/status sync, document request/upload flow, adverse/screening workflow action model still pending.",Extracted from Desktop DOCX copy
8. Residual Limitations and Open Workstreams,ComplyAdvantage production workspace validation,P1,open residual,,PR-PROV1A/PR-PROV1 pending: controlled production workspace setup and staging runtime validation.,PR-PROV1A/PR-PROV1 pending: controlled production workspace setup and staging runtime validation.,Extracted from Desktop DOCX copy
8. Residual Limitations and Open Workstreams,Pilot scope control matrix,P1,open residual,,Need written included/excluded module/control matrix before client rollout.,Need written included/excluded module/control matrix before client rollout.,Extracted from Desktop DOCX copy
8. Residual Limitations and Open Workstreams,Final Go/No-Go checklist,P1,open residual,,"Need final cross-module readiness evidence, residual limitation register, operational owner sign-off.","Need final cross-module readiness evidence, residual limitation register, operational owner sign-off.",Extracted from Desktop DOCX copy
8. Residual Limitations and Open Workstreams,Lower-privilege fixture opt-in retest,P2,open residual,,Need non-SCO staging token/session to prove unauthorized show_fixtures=true cannot expose fixtures.,Need non-SCO staging token/session to prove unauthorized show_fixtures=true cannot expose fixtures.,Extracted from Desktop DOCX copy
8. Residual Limitations and Open Workstreams,KYC live disposable upload fixture,P2,open residual,,Useful to remove #613 limitation and prove upload path live without using real client data.,Useful to remove #613 limitation and prove upload path live without using real client data.,Extracted from Desktop DOCX copy
8. Residual Limitations and Open Workstreams,Heavy evidence payload/backend optimisation,P2,open residual,,"Heavy evidence still takes >10s to fully hydrate, though shell is instant. Optional later performance improvement.","Heavy evidence still takes >10s to fully hydrate, though shell is instant. Optional later performance improvement.",Extracted from Desktop DOCX copy
8. Residual Limitations and Open Workstreams,Periodic Review state coverage fixtures,P2,open residual,,Add fixture coverage for cancelled/closed/EDD/overdue/completion-pending states.,Add fixture coverage for cancelled/closed/EDD/overdue/completion-pending states.,Extracted from Desktop DOCX copy
8. Residual Limitations and Open Workstreams,Historical completed review stale blocker labels,P2,open residual,,Investigate/display guard; not active mutable workflow issue.,Investigate/display guard; not active mutable workflow issue.,Extracted from Desktop DOCX copy
8. Residual Limitations and Open Workstreams,Registry/KYB simulation disclosure,P2,open residual,,Need disclose/hide simulated registry/KYB claims to avoid credibility issues.,Need disclose/hide simulated registry/KYB claims to avoid credibility issues.,Extracted from Desktop DOCX copy
9. Recommended Execution Order,1 / Full PR remediation report reconciliation,Full PR remediation report reconciliation,,,"Reconcile this report against GitHub PRs, tracker, and evidence folders; convert into pilot evidence pack.",,Extracted from Desktop DOCX copy
9. Recommended Execution Order,2 / Monitoring workflow integration,Monitoring workflow integration,,,"Start PR-MONITORING-AGENTS-PILOT-VISIBILITY-1, then Application Alerts linkage/status/deep-links.",,Extracted from Desktop DOCX copy
9. Recommended Execution Order,3 / Monitoring document refresh chain,Monitoring document refresh chain,,,Connect request -> portal task -> upload -> KYC slot -> Agent 1 -> officer review.,,Extracted from Desktop DOCX copy
9. Recommended Execution Order,4 / Provider production validation,Provider production validation,,,Configure CA Production workspace and run controlled validation only.,,Extracted from Desktop DOCX copy
9. Recommended Execution Order,5 / Pilot scope matrix,Pilot scope matrix,,,Define which surfaces are in/out for paid pilot and what controls are relied upon.,,Extracted from Desktop DOCX copy
9. Recommended Execution Order,6 / Final Go/No-Go,Final Go/No-Go,,,Run final cross-module smoke/E2E and produce release decision.,,Extracted from Desktop DOCX copy
Appendix A — Verdict Definitions,PASS / Merged/deployed/validated with no material limitation.,Merged/deployed/validated with no material limitation.,,,,,Extracted from Desktop DOCX copy
Appendix A — Verdict Definitions,"PASS WITH LIMITATION / Core behavior passed, but one scoped test condition or data state was unavailable or synthetically validated.","Core behavior passed, but one scoped test condition or data state was unavailable or synthetically validated.",,,,,Extracted from Desktop DOCX copy
Appendix A — Verdict Definitions,FAIL / fix needed / A material defect or gap was found requiring a follow-up PR.,A material defect or gap was found requiring a follow-up PR.,,,,,Extracted from Desktop DOCX copy
Appendix A — Verdict Definitions,BLOCKER / Unsafe or unusable behavior that should stop rollout until fixed.,Unsafe or unusable behavior that should stop rollout until fixed.,,,,,Extracted from Desktop DOCX copy
